match_id,balls_per_over,teams,innings,player,bowler,overs,maidens,runs,wickets,extraballs,noballs,wides,hat_trick
20060615_00007_RoseBwl,6,2,1,4,"Plunkett, LE {b1985-4-6}",4,0,37,1,0,0,0,0
20060615_00007_RoseBwl,6,2,1,5,"Collingwood, PD {b1976-5-26}",4,0,22,4,0,0,1,0
20060615_00007_RoseBwl,6,2,1,6,"Dalrymple, JWM {b1981-1-21}",2,0,17,1,0,0,0,0
20060828_00008_Bristol,6,1,1,1,"Gough, D {b1970-9-18}",3,0,33,0,5,0,1,0
20060828_00008_Bristol,6,1,1,2,"Broad, SCJ {b1986-6-24}",4,0,35,2,0,0,0,0
20060828_00008_Bristol,6,1,1,3,"Mahmood, SI {b1981-12-21}",3,0,29,0,0,1,3,0
20060828_00008_Bristol,6,1,1,4,"Dalrymple, JWM {b1981-1-21}",2,0,10,1,0,0,2,0
20060828_00008_Bristol,6,1,1,5,"Yardy, MH {b1980-11-27}",3,0,20,1,0,0,1,0
20060828_00008_Bristol,6,1,1,6,"Collingwood, PD {b1976-5-26}",2,0,19,0,0,0,0,0
20060828_00008_Bristol,6,2,1,1,Shoaib Akhtar {b1975-8-13},4,0,31,1,0,0,0,0
20060828_00008_Bristol,6,2,1,2,Mohammad Asif {b1982-12-20},4,1,21,2,0,0,0,0
20060828_00008_Bristol,6,2,1,3,Naved-ul-Hasan {b1978-2-28},4,0,26,1,0,1,0,0
20060828_00008_Bristol,6,2,1,4,Shahid Afridi (P) {b1980-3-1},4,0,28,0,0,0,2,0
20060828_00008_Bristol,6,2,1,5,Abdul Razzaq {b1979-12-2},4,0,30,3,0,0,0,0
20061128_00009_Khulna,6,1,1,1,Mashrafe Mortaza {b1983-10-5},4,0,29,1,0,0,0,0
20061128_00009_Khulna,6,1,1,2,Shahadat Hossain (Rajib) {b1986-8-7},4,0,22,2,0,0,0,0
20061128_00009_Khulna,6,1,1,3,Mohammad Rafique {b1970-9-5},4,0,22,1,0,0,0,0
20061128_00009_Khulna,6,1,1,4,Shakib Al Hasan {b1987-3-24},4,0,31,1,0,0,0,0
20061128_00009_Khulna,6,1,1,5,Abdur Razzak {b1982-6-15},4,1,17,3,0,0,3,0
20061128_00009_Khulna,6,2,1,1,"Brent, GB {b1976-1-13}",4,0,40,2,0,0,0,0
20061128_00009_Khulna,6,2,1,2,"Ireland, AJ {b1984-8-30}",3,0,33,1,0,1,1,0
20061128_00009_Khulna,6,2,1,3,"Chigumbura, E {b1986-3-14}",2,0,22,1,0,0,3,0
20061128_00009_Khulna,6,2,1,4,"Utseya, P {b1985-3-26}",4,0,25,3,0,1,0,0
20061128_00009_Khulna,6,2,1,5,"Williams, SC {b1986-9-26}",4,0,28,1,0,0,0,0
20061128_00009_Khulna,6,2,1,6,"Dabengwa, KM {b1980-8-17}",1,0,1,1,0,0,1,0
20061128_00009_Khulna,6,2,1,7,"Chibhabha, CJ {b1986-9-6}",1,0,14,1,5,0,2,0
20061201_00010_Wandrer,6,1,1,1,"van der Wath, JJ {b1978-1-10}",4,0,18,0,0,0,1,0
20061201_00010_Wandrer,6,1,1,2,"Langeveldt, CK {b1974-12-17}",4,0,20,2,0,1,1,0
20061201_00010_Wandrer,6,1,1,3,"Telemachus, R {b1973-3-27}",4,0,28,0,0,0,1,0
20061201_00010_Wandrer,6,1,1,4,"Henderson, T {b1974-8-1}",4,0,31,0,0,0,0,0
20061201_00010_Wandrer,6,1,1,5,"Morkel, JA {b1981-6-10}",2,0,12,0,0,0,0,0
20061201_00010_Wandrer,6,1,1,6,"Peterson, RJ {b1979-8-4}",1,0,11,1,5,0,0,0
20061201_00010_Wandrer,6,2,1,1,Zaheer Khan {b1978-10-7},4,0,15,2,0,0,2,0
20061201_00010_Wandrer,6,2,1,2,"Sreesanth, S {b1983-2-6}",4,0,33,1,0,0,2,0
20061201_00010_Wandrer,6,2,1,3,"Agarkar, AB {b1977-12-4}",2,1,10,2,3,0,0,0
20061201_00010_Wandrer,6,2,1,4,"Pathan, IK {b1984-10-27}",4,0,30,0,0,0,0,0
20061201_00010_Wandrer,6,2,1,5,"Tendulkar, SR {b1973-4-24}",2,0,12,1,3,0,0,0
20061201_00010_Wandrer,6,2,1,6,Harbhajan Singh {b1980-7-3},3,0,22,1,0,1,0,0
20061222_00011_WelltnS,6,1,1,1,"Bond, SE {b1975-6-7}",3,0,24,1,0,0,1,0
20061222_00011_WelltnS,6,1,1,2,"Franklin, JEC {b1980-11-7}",2,0,19,0,0,0,1,0
20061222_00011_WelltnS,6,1,1,3,"Adams, AR {b1975-7-17}",0,0,18,0,5,0,0,0
