Count;Season;gameId;Result;X;Y
657;nhl05.json;780;win;72.0;68.0
666;nhl05.json;789;win;67.0;70.0
667;nhl05.json;790;win;52.0;52.0
669;nhl05.json;792;win;41.0;55.0
670;nhl05.json;793;win;60.0;78.0
671;nhl05.json;794;win;48.0;52.0
673;nhl05.json;796;win;52.0;50.0
674;nhl05.json;797;win;55.0;62.0
675;nhl05.json;798;win;60.0;43.0
680;nhl05.json;803;win;70.0;41.0
681;nhl05.json;804;win;52.0;54.0
682;nhl05.json;805;win;63.0;67.0
686;nhl05.json;809;win;54.0;71.0
688;nhl05.json;811;win;67.0;46.0
690;nhl05.json;813;win;75.0;35.0
693;nhl05.json;816;win;75.0;72.0
695;nhl05.json;818;win;57.0;54.0
696;nhl05.json;819;win;62.0;64.0
698;nhl05.json;821;win;58.0;65.0
699;nhl05.json;822;win;64.0;67.0
702;nhl05.json;825;win;56.0;43.0
704;nhl05.json;827;win;71.0;52.0
705;nhl05.json;828;win;72.0;77.0
706;nhl05.json;829;win;77.0;72.0
707;nhl05.json;830;win;46.0;65.0
708;nhl05.json;831;win;69.0;61.0
709;nhl05.json;832;win;64.0;80.0
717;nhl05.json;840;win;58.0;79.0
718;nhl05.json;841;win;73.0;43.0
719;nhl05.json;842;win;74.0;59.0
726;nhl05.json;849;win;77.0;75.0
728;nhl05.json;851;win;72.0;48.0
731;nhl05.json;854;win;74.0;52.0
734;nhl05.json;857;win;67.0;79.0
736;nhl05.json;859;win;81.0;70.0
739;nhl05.json;862;win;63.0;44.0
742;nhl05.json;865;win;62.0;83.0
744;nhl05.json;867;win;70.0;63.0
749;nhl05.json;872;win;44.0;74.0
750;nhl05.json;873;win;82.0;58.0
754;nhl05.json;877;win;81.0;45.0
756;nhl05.json;879;win;74.0;73.0
757;nhl05.json;880;win;69.0;63.0
759;nhl05.json;882;win;72.0;48.0
760;nhl05.json;883;win;73.0;43.0
761;nhl05.json;884;win;58.0;60.0
762;nhl05.json;885;win;58.0;79.0
763;nhl05.json;886;win;68.0;64.0
765;nhl05.json;888;win;84.0;54.0
766;nhl05.json;889;win;77.0;59.0
767;nhl05.json;890;win;65.0;63.0
772;nhl05.json;895;win;56.0;76.0
773;nhl05.json;896;win;69.0;80.0
774;nhl05.json;897;win;71.0;48.0
775;nhl05.json;898;win;79.0;74.0
776;nhl05.json;899;win;75.0;64.0
780;nhl05.json;903;win;63.0;74.0
785;nhl05.json;908;win;46.0;58.0
789;nhl05.json;912;win;59.0;67.0
798;nhl05.json;921;win;81.0;60.0
801;nhl05.json;924;win;48.0;40.0
803;nhl05.json;926;win;55.0;87.0
805;nhl05.json;928;win;65.0;73.0
806;nhl05.json;929;win;87.0;75.0
807;nhl05.json;930;win;50.0;62.0
809;nhl05.json;932;win;77.0;85.0
810;nhl05.json;933;win;83.0;70.0
816;nhl05.json;939;win;57.0;91.0
818;nhl05.json;941;win;62.0;70.0
821;nhl05.json;944;win;40.0;74.0
823;nhl05.json;946;win;69.0;81.0
825;nhl05.json;948;win;89.0;49.0
830;nhl05.json;953;win;42.0;80.0
832;nhl05.json;955;win;67.0;74.0
833;nhl05.json;956;win;78.0;79.0
835;nhl05.json;958;win;87.0;60.0
836;nhl05.json;959;win;72.0;62.0
838;nhl05.json;961;win;69.0;77.0
840;nhl05.json;963;win;87.0;76.0
841;nhl05.json;964;win;79.0;80.0
844;nhl05.json;967;win;91.0;72.0
846;nhl05.json;969;win;82.0;76.0
849;nhl05.json;972;win;92.0;82.0
851;nhl05.json;974;win;93.0;74.0
852;nhl05.json;975;win;49.0;55.0
853;nhl05.json;976;win;68.0;66.0
854;nhl05.json;977;win;71.0;51.0
855;nhl05.json;978;win;82.0;51.0
856;nhl05.json;979;win;74.0;44.0
857;nhl05.json;980;win;84.0;64.0
861;nhl05.json;984;win;91.0;66.0
863;nhl05.json;986;win;72.0;82.0
864;nhl05.json;987;win;61.0;66.0
870;nhl05.json;993;win;94.0;93.0
871;nhl05.json;994;win;84.0;66.0
872;nhl05.json;995;win;86.0;82.0
874;nhl05.json;997;win;77.0;51.0
876;nhl05.json;999;win;63.0;96.0
878;nhl05.json;1001;win;74.0;66.0
879;nhl05.json;1002;win;74.0;80.0
885;nhl05.json;1008;win;70.0;93.0
887;nhl05.json;1010;win;86.0;65.0
888;nhl05.json;1011;win;88.0;51.0
892;nhl05.json;1015;win;68.0;96.0
894;nhl05.json;1017;win;84.0;76.0
895;nhl05.json;1018;win;98.0;46.0
896;nhl05.json;1019;win;66.0;73.0
897;nhl05.json;1020;win;69.0;84.0
903;nhl05.json;1026;win;67.0;52.0
904;nhl05.json;1027;win;93.0;71.0
911;nhl05.json;1034;win;73.0;70.0
912;nhl05.json;1035;win;100.0;78.0
913;nhl05.json;1036;win;68.0;51.0
915;nhl05.json;1038;win;77.0;66.0
918;nhl05.json;1041;win;55.0;86.0
920;nhl05.json;1043;win;82.0;92.0
924;nhl05.json;1047;win;88.0;102.0
925;nhl05.json;1048;win;69.0;76.0
926;nhl05.json;1049;win;75.0;70.0
928;nhl05.json;1051;win;79.0;92.0
931;nhl05.json;1054;win;66.0;93.0
935;nhl05.json;1058;win;97.0;86.0
938;nhl05.json;1061;win;82.0;81.0
941;nhl05.json;1064;win;98.0;81.0
945;nhl05.json;1068;win;79.0;71.0
947;nhl05.json;1070;win;59.0;82.0
948;nhl05.json;1071;win;86.0;86.0
949;nhl05.json;1072;win;70.0;92.0
950;nhl05.json;1073;win;84.0;73.0
953;nhl05.json;1076;win;99.0;86.0
956;nhl05.json;1079;win;86.0;81.0
957;nhl05.json;1080;win;94.0;69.0
958;nhl05.json;1081;win;81.0;76.0
960;nhl05.json;1083;win;103.0;94.0
961;nhl05.json;1084;win;81.0;96.0
964;nhl05.json;1087;win;84.0;81.0
969;nhl05.json;1092;win;100.0;75.0
