match_id,team,teams,venue,venue_country,venue_location,competition,match_status,series_no,comp_match_no,captain,wicketkeeper,umpire1,umpire2,umpire3,umpire4,player1_of_match_team,player1_of_match,player2_of_match_team,player2_of_match,player3_of_match_team,player3_of_match,player4_of_match_team,player4_of_match,toss_winner,season_start_year,season_end_year,start_date,end_date,inns_per_side,overs_per_inns,days_for_match,winner,result_type,winning_margin,follow_on,reduced_balls,amended_target,amended_balls,innings,wickets,declared,runs,wides,noballs,byes,legbyes,penalties,time,team_batted,rest_days
20100922_00225_PrtElz,Warriors,2,Port Elizabeth,South Africa,South Africa,Champions League Twenty20,ordinary,292,20,"Jacobs, DJ {b1982-11-4}","Boucher, MV {b1976-12-3}","Jerling, BG","Koertzen, RE",NA,NA,Chennai Super Kings,"Hussey, MEK {b1975-5-27}",NA,NA,NA,NA,NA,NA,Chennai Super Kings,2010,2011,2010-09-22,2010-09-22,1,20,1,Chennai Super Kings,runs,10,0,NA,NA,NA,1,8,0,126,0,0,0,3,0,78,1,0
20100924_00226_Kingsmd,Chennai Super Kings,1,Durban (Kingsmead),South Africa,South Africa,Champions League Twenty20,semi-final,292,21,"Dhoni, MS {b1981-7-7}","Dhoni, MS {b1981-7-7}",Asad Rauf,"Erasmus, M",NA,NA,Chennai Super Kings,"Raina, SK {b1986-11-27}",NA,NA,NA,NA,NA,NA,Chennai Super Kings,2010,2011,2010-09-24,2010-09-24,1,20,1,Chennai Super Kings,runs,52,0,102,176,102,1,4,0,174,2,3,4,8,0,84,1,0
20100924_00226_Kingsmd,Royal Challengers Bangalore,2,Durban (Kingsmead),South Africa,South Africa,Champions League Twenty20,semi-final,292,21,"Kumble, A {b1970-10-17}","Uthappa, RV {b1985-11-11}",Asad Rauf,"Erasmus, M",NA,NA,Chennai Super Kings,"Raina, SK {b1986-11-27}",NA,NA,NA,NA,NA,NA,Chennai Super Kings,2010,2011,2010-09-24,2010-09-24,1,20,1,Chennai Super Kings,runs,52,0,102,176,102,1,9,0,123,10,0,0,0,0,68,1,0
20100925_00227_CnturPk,Warriors,1,Centurion (Centurion Park),South Africa,South Africa,Champions League Twenty20,semi-final,292,22,"Jacobs, DJ {b1982-11-4}","Boucher, MV {b1976-12-3}","de Silva, EAR","Tucker, RJ",NA,NA,Warriors,"Jacobs, DJ {b1982-11-4}",NA,NA,NA,NA,NA,NA,Warriors,2010,2011,2010-09-25,2010-09-25,1,20,1,Warriors,runs,30,0,NA,NA,NA,1,6,0,175,2,0,2,3,0,80,1,0
20100925_00227_CnturPk,South Australia,2,Centurion (Centurion Park),South Africa,South Africa,Champions League Twenty20,semi-final,292,22,"Klinger, M {b1980-8-4}","Manou, GA {b1979-4-23}","de Silva, EAR","Tucker, RJ",NA,NA,Warriors,"Jacobs, DJ {b1982-11-4}",NA,NA,NA,NA,NA,NA,Warriors,2010,2011,2010-09-25,2010-09-25,1,20,1,Warriors,runs,30,0,NA,NA,NA,1,7,0,145,6,0,0,3,0,79,1,0
20100926_00228_Wandrer,Warriors,1,Johannesburg (Wanderers),South Africa,South Africa,Champions League Twenty20,grand-final,292,23,"Jacobs, DJ {b1982-11-4}","Boucher, MV {b1976-12-3}",Aleem Dar,"Koertzen, RE",NA,NA,Chennai Super Kings,"Vijay, M {b1984-4-1}",NA,NA,NA,NA,NA,NA,Warriors,2010,2011,2010-09-26,2010-09-26,1,20,1,Chennai Super Kings,wickets,8,0,NA,NA,NA,1,7,0,128,4,0,0,4,0,86,1,0
20100926_00228_Wandrer,Chennai Super Kings,2,Johannesburg (Wanderers),South Africa,South Africa,Champions League Twenty20,grand-final,292,23,"Dhoni, MS {b1981-7-7}","Dhoni, MS {b1981-7-7}",Aleem Dar,"Koertzen, RE",NA,NA,Chennai Super Kings,"Vijay, M {b1984-4-1}",NA,NA,NA,NA,NA,NA,Warriors,2010,2011,2010-09-26,2010-09-26,1,20,1,Chennai Super Kings,wickets,8,0,NA,NA,NA,1,2,0,132,3,0,0,1,0,82,1,0
20110408_00229_Chepauk,Chennai Super Kings,1,Chennai (Chepauk),India,Chennai Super Kings,Indian Premier League,ordinary,293,1,"Dhoni, MS {b1981-7-7}","Dhoni, MS {b1981-7-7}","Doctrove, BR","Reiffel, PR",NA,NA,Chennai Super Kings,"Srikkanth, A {b1987-4-14}",NA,NA,NA,NA,NA,NA,Chennai Super Kings,2011,2011,2011-04-08,2011-04-08,1,20,1,Chennai Super Kings,runs,2,0,NA,NA,NA,1,4,0,153,2,0,1,0,0,80,1,0
20110408_00229_Chepauk,Kolkata Knight Riders,2,Chennai (Chepauk),India,Chennai Super Kings,Indian Premier League,ordinary,293,1,"Gambhir, G {b1981-10-14}","Bisla, M {b1984-12-27}","Doctrove, BR","Reiffel, PR",NA,NA,Chennai Super Kings,"Srikkanth, A {b1987-4-14}",NA,NA,NA,NA,NA,NA,Chennai Super Kings,2011,2011,2011-04-08,2011-04-08,1,20,1,Chennai Super Kings,runs,2,0,NA,NA,NA,1,7,0,151,7,0,0,1,0,80,1,0
20110409_00230_HydRSG,Deccan Chargers,1,Hyderabad (RGS),India,Deccan Chargers,Indian Premier League,ordinary,293,2,"Sangakkara, KC {b1977-10-27}","Sangakkara, KC {b1977-10-27}","Koertzen, RE","Tarapore, SK",NA,NA,Rajasthan Royals,"Trivedi, SK {b1982-9-4}",NA,NA,NA,NA,NA,NA,Rajasthan Royals,2011,2011,2011-04-09,2011-04-09,1,20,1,Rajasthan Royals,wickets,8,0,NA,NA,NA,1,8,0,137,4,0,0,0,0,80,1,0
20110409_00230_HydRSG,Rajasthan Royals,2,Hyderabad (RGS),India,Deccan Chargers,Indian Premier League,ordinary,293,2,"Warne, SK {b1969-9-13}","Paunikar, AG {b1988-4-18}","Koertzen, RE","Tarapore, SK",NA,NA,Rajasthan Royals,"Trivedi, SK {b1982-9-4}",NA,NA,NA,NA,NA,NA,Rajasthan Royals,2011,2011,2011-04-09,2011-04-09,1,20,1,Rajasthan Royals,wickets,8,0,NA,NA,NA,1,2,0,141,1,2,0,2,0,70,1,0
20110409_00231_Kochi,Kochi Tuskers Kerala,1,Kochi,India,Kochi Tuskers Kerala,Indian Premier League,ordinary,293,3,"Jayawardena, DPMD {b1977-5-27}","Patel, PA {b1985-3-9}","Dharmasena, HDPK","Hariharan, K",NA,NA,Royal Challengers Bangalore,"de Villiers, AB {b1984-2-17}",NA,NA,NA,NA,NA,NA,Kochi Tuskers Kerala,2011,2011,2011-04-09,2011-04-09,1,20,1,Royal Challengers Bangalore,wickets,6,0,NA,NA,NA,1,5,0,161,7,1,1,2,0,80,1,0
20110409_00231_Kochi,Royal Challengers Bangalore,2,Kochi,India,Kochi Tuskers Kerala,Indian Premier League,ordinary,293,3,"Vettori, DL {b1979-1-27}","de Villiers, AB {b1984-2-17}","Dharmasena, HDPK","Hariharan, K",NA,NA,Royal Challengers Bangalore,"de Villiers, AB {b1984-2-17}",NA,NA,NA,NA,NA,NA,Kochi Tuskers Kerala,2011,2011,2011-04-09,2011-04-09,1,20,1,Royal Challengers Bangalore,wickets,6,0,NA,NA,NA,1,4,0,162,7,2,0,4,0,80,1,0
20110410_00232_DelhiFK,Delhi Capitals,1,Delhi (Feroz Shah Kotla),India,Delhi Capitals,Indian Premier League,ordinary,293,4,"Sehwag, V {b1978-10-20}","Ojha, NV {b1983-7-20}","Saheba, AM","Tiffin, RB",NA,NA,Mumbai Indians,"Malinga, SL {b1983-9-4}",NA,NA,NA,NA,NA,NA,Delhi Capitals,2011,2011,2011-04-10,2011-04-10,1,20,1,Mumbai Indians,wickets,8,0,NA,NA,NA,1,10,0,95,4,0,0,0,0,80,1,0
20110410_00232_DelhiFK,Mumbai Indians,2,Delhi (Feroz Shah Kotla),India,Delhi Capitals,Indian Premier League,ordinary,293,4,"Tendulkar, SR {b1973-4-24}","Jacobs, DJ {b1982-11-4}","Saheba, AM","Tiffin, RB",NA,NA,Mumbai Indians,"Malinga, SL {b1983-9-4}",NA,NA,NA,NA,NA,NA,Delhi Capitals,2011,2011,2011-04-10,2011-04-10,1,20,1,Mumbai Indians,wickets,8,0,NA,NA,NA,1,2,0,99,7,0,1,3,0,65,1,0
20110410_00233_MmbDYP,Punjab Kings,1,Mumbai (DY Patil),India,Mumbai Indians,Indian Premier League,ordinary,293,5,"Gilchrist, AC {b1971-11-14}","Gilchrist, AC {b1971-11-14}","Doctrove, BR","Reiffel, PR",NA,NA,Pune Warriors,"Wagh, SB {b1988-10-9}",NA,NA,NA,NA,NA,NA,Punjab Kings,2011,2011,2011-04-10,2011-04-10,1,20,1,Pune Warriors,wickets,7,0,NA,NA,NA,1,8,0,112,5,1,0,4,0,80,1,0
20110410_00233_MmbDYP,Pune Warriors,2,Mumbai (DY Patil),India,Mumbai Indians,Indian Premier League,ordinary,293,5,Yuvraj Singh {b1981-12-12},"Uthappa, RV {b1985-11-11}","Doctrove, BR","Reiffel, PR",NA,NA,Pune Warriors,"Wagh, SB {b1988-10-9}",NA,NA,NA,NA,NA,NA,Punjab Kings,2011,2011,2011-04-10,2011-04-10,1,20,1,Pune Warriors,wickets,7,0,NA,NA,NA,1,3,0,113,3,0,0,1,0,55,1,0
