match_id,teams,innings,retired,player,wickets,teamscore,playerruns,resumewickets,resumeruns
20110903_03186_ChstrLS,1,1,1,"Sharma, RG {b1987-4-30}",3,191,0,NA,NA
20111013_03198_Mirpur,1,1,1,"Barath, AB {b1990-4-14}",0,67,21,NA,NA
20111205_03221_AhmedM,1,1,1,"Bravo, DM {b1989-2-6}",2,97,26,NA,NA
20111211_03224_Chepauk,1,1,1,"Tiwary, MK {b1985-11-14}",3,201,104,NA,NA
20130217_03335_Hamiltn,2,1,1,"Guptill, MJ {b1986-9-30}",1,18,3,7,218
20130523_03357_Dublin,1,1,1,Nasir Jamshed {b1989-12-6},0,27,15,2,221
20130620_03376_Cardiff,1,1,1,"Dilshan, TM {b1976-10-14}",1,17,12,7,164
20130831_03408_Harare,1,1,1,Mohammad Hafeez {b1980-10-17},1,87,12,5,243
20140718_03503_BulawyQ,2,1,1,Sikandar Raza {b1986-4-24},2,89,38,4,205
20140831_03521_Harare,1,1,1,"Clarke, MJ {b1981-4-2}",5,147,68,9,202
20150221_03608_ChchHO,1,1,1,"Bravo, DM {b1989-2-6}",3,152,49,NA,NA
20150308_03629_Sydney,2,1,1,"Chandimal, LD {b1989-11-18}",4,281,52,NA,NA
20150905_03681_Lord's,1,1,1,"Warner, DA {b1986-10-27}",0,2,1,NA,NA
20150913_03684_OldTraf,1,1,1,"Morgan, EJG {b1986-9-10}",3,22,1,NA,NA
20151025_03700_Wankhed,1,1,1,"du Plessis, F {b1984-7-13}",2,351,133,NA,NA
20151116_03709_DubaiI,1,1,1,"Shah, KD {b1995-12-9}",0,71,34,NA,NA
20160125_03728_Wellton,1,1,1,"McClenaghan, MJ {b1986-6-11}",8,276,31,NA,NA
20160831_03774_Damblla,1,1,1,"Mathews, AD {b1987-6-2}",3,115,28,8,199
20161226_03814_ChchHO,2,1,1,Mushfiqur Rahim {b1988-9-1},6,219,42,NA,NA
20161231_03816_Nelson,2,1,1,"Guptill, MJ {b1986-9-30}",1,12,6,NA,NA
20170113_03817_Gabba,2,1,1,Azhar Ali {b1985-2-19},1,39,12,6,133
20170122_03824_AbDhab,1,1,1,"de Lange, CD {b1981-2-11}",5,139,20,9,183
20170126_03826_Adlaide,2,1,1,Shoaib Malik {b1982-2-1},3,181,10,NA,NA
20170322_03853_GrtNda,2,1,1,"O'Brien, KJ {b1984-3-4}",3,73,9,6,130
20170608_03882_TheOval,2,1,1,"Perera, MDKJ {b1990-8-17}",3,271,47,NA,NA
20170927_03916_TheOval,1,1,1,"Lewis, E {b1991-12-27}",4,318,176,NA,NA
20171022_03929_EastLon,1,1,1,"du Plessis, F {b1984-7-13}",2,283,91,NA,NA
20180306_03988_HareOH,1,1,1,"Hope, SD {b1993-11-10}",4,349,35,NA,NA
20180319_04002_Harare,1,1,1,"Mire, SF {b1989-8-21}",2,30,22,5,234
20180915_04036_Dubai,1,1,1,Tamim Iqbal {b1989-3-20},2,3,2,9,229
